ID,X,Y,area,element,Al2O3,FeO,MgO,Cr2O3,Bal,Al,Si,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Zn,Rb,Sr,Zr,Ba
SB063,371389.9181,7217612.078,A,undetermined,0.299,3.532,0,0.018,89.989,0.158,3.311,0.815,0.103,0.059,0.865,1.451,0.281,0.009,0.012,0.135,2.746,0.01,0.003,0.003,0.025,0.021
SB064,371389.9505,7217613.861,A,undetermined,0.265,3.29,0,0.015,90.543,0.14,3.274,0.804,0.103,0.06,0.822,1.285,0.235,0.008,0.01,0.102,2.557,0.006,0.003,0.002,0.021,0.024
SB065,371389.9611,7217615.966,A,undetermined,0.363,3.467,0,0.014,90.242,0.192,3.402,0.768,0.109,0.057,0.786,1.296,0.269,0.009,0.01,0.105,2.695,0.005,0.002,0.002,0.026,0.023
SB066,371389.9091,7217618.027,A,undetermined,0.285,3.264,0,0.01,89.361,0.151,3.181,0.772,0.094,0.055,0.75,2.676,0.251,0.007,0.007,0.097,2.537,0.005,0.002,0.004,0.025,0.022
SB067,371387.8503,7217618.059,A,midden_1,0.306,3.469,0,0.017,86.89,0.162,2.739,0.734,0.087,0.051,0.801,5.403,0.235,0.009,0.012,0.108,2.697,0.004,0.003,0.007,0.029,0.023
SB068,371387.8292,7217616.07,A,undetermined,0.267,3.453,0,0.015,89.835,0.141,3.304,0.759,0.089,0.064,0.814,1.912,0.249,0.008,0.01,0.073,2.684,0.005,0.002,0.003,0.026,0.021
SB069,371387.7592,7217614.073,A,undetermined,0.279,3.426,0,0.014,90.814,0.148,3.01,0.767,0.098,0.058,0.815,1.208,0.25,0.007,0.009,0.095,2.663,0.005,0.003,0.003,0.025,0.021
SB07,371397.7169,7217619.948,A,undetermined,0.255,3.577,0,0.014,90.689,0.135,3.508,0.815,0.097,0.056,0.793,0.695,0.273,0.009,0.01,0.077,2.78,LOD,0.003,0.002,0.031,0.022
SB070,371387.7676,7217612.12,A,undetermined,0.209,3.186,0,0.017,90.782,0.111,3.339,0.802,0.1,0.056,0.79,1.136,0.24,0.007,0.011,0.095,2.477,0.005,0.002,0.002,0.02,0.021
SB071,371387.8965,7217610.201,A,undetermined,0.491,3.696,0,0.013,89.59,0.26,3.598,0.818,0.108,0.062,0.89,1.267,0.269,0.008,0.009,0.179,2.873,0.009,0.003,0.003,0.024,0.026
SB072,371385.7641,7217610.069,A,undetermined,0.242,3.37,0.491,0.016,90.356,0.128,3.344,0.807,0.103,0.059,0.835,1.001,0.251,0.01,0.011,0.119,2.619,0.007,0.003,0.002,0.024,0.022
SB073,371385.8083,7217612.137,A,undetermined,0.268,3.203,0,0.012,90.853,0.142,3.359,0.836,0.096,0.059,0.806,0.92,0.284,0.007,0.009,0.083,2.49,0.006,0.002,0.002,0.025,0.019
SB074,371385.5922,7217614.167,A,undetermined,0.369,3.798,0.488,0.015,89.856,0.195,3.187,0.812,0.101,0.06,0.931,1.144,0.28,0.009,0.01,0.103,2.952,0.006,0.003,0.003,0.024,0.023
SB075,371385.8361,7217616.142,A,midden_1,0.284,3.816,0,0.013,88.658,0.15,3.207,0.809,0.104,0.06,0.825,2.768,0.258,0.009,0.009,0.099,2.966,0.006,0.003,0.004,0.033,0.027
SB076,371385.8326,7217618.136,A,midden_1,0.261,3.496,0,0.014,88.683,0.138,3.336,0.821,0.084,0.057,0.95,2.771,0.258,0.009,0.009,0.092,2.718,0.005,0.003,0.005,0.029,0.029
SB077,371383.8404,7217610.081,A,undetermined,0.305,3.329,0,0.012,90.657,0.162,3.493,0.812,0.096,0.055,0.798,0.951,0.219,0.009,0.008,0.084,2.588,0.007,0.003,0.002,0.028,0.026
SB078,371383.7955,7217611.983,A,undetermined,0.287,3.262,0,0.013,90.512,0.152,3.673,0.842,0.101,0.06,0.856,0.869,0.245,0.008,0.009,0.074,2.536,0.005,0.002,0.002,0.027,0.025
SB079,371383.8626,7217613.801,A,undetermined,0.277,3.339,0,0.014,90.324,0.147,3.525,0.856,0.107,0.063,0.914,1.043,0.263,0.01,0.01,0.081,2.595,0.005,0.003,0.002,0.031,0.021
SB08,371397.7072,7217622.201,A,undetermined,0.262,3.32,0,0.016,90.907,0.139,3.67,0.807,0.092,0.054,0.785,0.534,0.265,0.009,0.011,0.083,2.58,0.003,0.003,0.002,0.033,0.022
SB080,371383.9289,7217615.997,A,undetermined,0.359,3.441,0,0.016,88.614,0.19,3.385,0.821,0.095,0.06,0.885,2.854,0.236,0.008,0.011,0.092,2.675,0.006,0.003,0.004,0.033,0.024
SB081,371383.7772,7217617.975,A,midden_1,0.38,3.445,0.468,0.011,89.492,0.201,3.69,0.815,0.089,0.06,0.809,1.416,0.293,0.008,0.008,0.073,2.678,0.004,0.002,0.002,0.044,0.028
SB09,371397.8166,7217623.884,A,undetermined,0.255,3.2,0,0.009,91.155,0.135,3.525,0.815,0.103,0.065,0.756,0.506,0.294,0.01,0.006,0.078,2.487,0.004,0.003,LOD,0.032,0.022
SC01,371403.7972,7217608.07,A,undetermined,0.351,3.345,0,0.014,90.411,0.186,3.523,0.758,0.098,0.058,0.842,1.041,0.279,0.009,0.01,0.119,2.6,0.006,0.003,0.003,0.03,0.023
SC010,371401.8779,7217607.955,A,undetermined,0.339,3.461,0,0.017,90.203,0.18,3.248,0.755,0.101,0.06,0.875,1.463,0.245,0.01,0.012,0.094,2.69,0.006,0.003,0.003,0.027,0.024
SC011,371399.6727,7217604.007,A,enclosure_1,0.284,2.949,0,0.01,90.803,0.15,3.773,0.756,0.093,0.058,0.72,0.862,0.237,0.007,0.007,0.173,2.292,0.009,0.003,0.002,0.03,0.023
SC012,371397.8524,7217600.084,A,enclosure_1,0.305,3.071,0,0.014,90.568,0.161,3.693,0.765,0.094,0.059,0.664,1.109,0.219,0.008,0.01,0.198,2.387,0.013,0.003,0.003,0.022,0.02
SC013,371396.1005,7217600.106,A,enclosure_1,0.287,3.083,0,0.016,90.556,0.152,3.676,0.782,0.091,0.062,0.702,1.077,0.215,0.008,0.011,0.207,2.396,0.013,0.003,0.002,0.023,0.019
SC014,371393.9585,7217600.107,A,enclosure_1,0.27,3.106,0,0.012,90.275,0.143,3.783,0.797,0.084,0.059,0.76,1.214,0.237,0.008,0.009,0.154,2.415,0.01,0.003,0.003,0.023,0.02
SC015,371392.082,7217600.07,A,enclosure_1,0.294,2.923,0,0.014,90.48,0.155,3.981,0.769,0.1,0.064,0.788,0.9,0.267,0.007,0.009,0.136,2.272,0.009,0.003,0.002,0.031,0.021
SC016,371389.8868,7217602.373,A,enclosure_1,0.343,2.702,0,0.012,90.045,0.181,3.534,0.761,0.101,0.061,0.728,1.983,0.26,0.008,0.008,0.159,2.101,0.01,0.003,0.004,0.028,0.023
SC017,371392.0162,7217601.958,A,enclosure_1,0.333,2.717,0,0.012,89.881,0.176,4.02,0.845,0.096,0.07,0.713,1.603,0.224,0.006,0.008,0.172,2.112,0.013,0.003,0.003,0.023,0.027
SC018,371393.7179,7217602,A,enclosure_1,0.275,2.628,0,0.012,90.277,0.146,3.845,0.9,0.114,0.061,0.611,1.533,0.213,0.006,0.008,0.166,2.043,0.012,0.003,0.003,0.034,0.019
SC019,371395.9982,7217602.049,A,enclosure_1,0.316,3.029,0,0.015,89.857,0.167,4.052,0.888,0.105,0.06,0.614,1.391,0.221,0.007,0.01,0.205,2.354,0.014,0.003,0.003,0.023,0.022
SC02,371403.856,7217605.985,A,undetermined,0.285666667,3.098666667,0,0.012333333,90.91866667,0.151,3.42,0.767,0.106,0.072333333,0.785333333,0.934333333,0.25,0.006666667,0.008333333,0.103333333,2.408333333,0.005333333,0.003,0.002,0.031333333,0.023666667
SC020,371397.7706,7217602.053,A,enclosure_1,0.279,3.038,0,0.015,90.264,0.147,3.718,0.841,0.105,0.061,0.657,1.322,0.215,0.009,0.01,0.219,2.362,0.016,0.003,0.003,0.024,0.018
SC021,371397.8324,7217604.075,A,enclosure_1,0.272,2.723,0,0.011,90.361,0.144,3.888,0.917,0.113,0.063,0.614,1.311,0.233,0.006,0.008,0.162,2.117,0.011,0.003,0.002,0.024,0.02
SC022,371395.7587,7217604.046,A,enclosure_1,0.335,3.265,0,0.01,89.155,0.177,4.17,0.973,0.1,0.063,0.65,1.621,0.267,0.008,0.007,0.195,2.538,0.012,0.003,0.003,0.026,0.027
SC023,371393.786,7217604.065,A,enclosure_1,0.281,2.475,0,0.012,89.815,0.149,3.838,0.938,0.104,0.057,0.576,2.114,0.204,0.007,0.008,0.187,1.924,0.013,0.003,0.004,0.029,0.027
SC024,371391.9207,7217603.833,A,enclosure_1,0.283,2.713,0,0.014,90.046,0.15,3.765,0.868,0.107,0.062,0.647,1.696,0.233,0.008,0.009,0.23,2.108,0.014,0.003,0.003,0.022,0.025
SC025,371389.8369,7217604.209,A,enclosure_1,0.333,2.824,0,0.02,90.119,0.176,3.598,0.843,0.114,0.057,0.784,1.62,0.221,0.008,0.014,0.184,2.195,0.014,0.003,0.003,0.021,0.019
SC026,371389.8314,7217606.087,A,enclosure_1,0.242,2.75,0,0.011,90.637,0.128,3.54,0.824,0.104,0.057,0.819,1.316,0.263,0.007,0.007,0.098,2.138,0.007,0.003,0.003,0.029,0.019
SC027,371391.8067,7217605.953,A,enclosure_1,0.336,2.801,0,0.01,90.29,0.178,3.698,0.842,0.107,0.057,0.692,1.457,0.243,0.007,0.007,0.179,2.177,0.011,0.003,0.003,0.025,0.022
SC028,371393.6132,7217606.049,A,enclosure_1,0.251,2.674,0,0.014,90.393,0.133,3.738,0.846,0.101,0.057,0.655,1.491,0.235,0.008,0.009,0.178,2.079,0.013,0.003,0.003,0.028,0.027
SC029,371395.8869,7217605.967,A,enclosure_1,0.274,2.733,0,0.011,90.721,0.145,3.717,0.828,0.102,0.062,0.683,1.145,0.23,0.01,0.007,0.164,2.125,0.011,0.003,0.002,0.025,0.019
SC03,371403.8874,7217604.027,A,undetermined,0.561,3.108,0,0.013,89.766,0.297,4.615,0.767,0.094,0.06,0.788,0.747,0.261,0.007,0.009,0.11,2.416,0.006,0.003,0.002,0.025,0.022
SC030,371397.6997,7217606.049,A,enclosure_1,0.327,3.129,0,0.012,90.574,0.173,3.69,0.812,0.101,0.059,0.752,0.921,0.245,0.006,0.008,0.16,2.432,0.01,0.003,0.002,0.027,0.021
SC031,371393.6023,7217607.973,A,enclosure_1,0.229,2.956,0,0.014,90.812,0.121,3.601,0.791,0.097,0.056,0.759,0.97,0.248,0.007,0.009,0.163,2.298,0.008,0.003,0.002,0.028,0.024
SC032,371391.7052,7217607.899,A,enclosure_1,0.254,2.716333333,0,0.010666667,90.69166667,0.134666667,3.849,0.829333333,0.107333333,0.062333333,0.733333333,1.017,0.250666667,0.006,0.007333333,0.132333333,2.111333333,0.010333333,0.003,0.002,0.028,0.021666667
SC033,371389.948,7217608.194,A,enclosure_1,0.199,2.681,0,0.013,91.174,0.105,3.023,0.741,0.114,0.057,0.73,1.502,0.264,0.006,0.009,0.13,2.084,0.006,0.002,0.002,0.026,0.02
SC034,371391.6485,7217609.72,A,enclosure_1,0.265,2.989,0,0.013,90.8,0.14,3.441,0.806,0.104,0.061,0.828,1.01,0.278,0.007,0.009,0.126,2.323,0.005,0.003,0.002,0.027,0.025
SC035,371385.8591,7217607.989,A,undetermined,0.367,3.168,0,0.015,90.321,0.194,3.332,0.825,0.098,0.06,0.757,1.522,0.23,0.009,0.01,0.118,2.463,0.008,0.003,0.003,0.022,0.021
SC036,371385.7574,7217605.971,A,undetermined,0.286,2.879,0,0.01,89.568,0.151,3.409,0.813,0.096,0.062,0.74,2.513,0.245,0.008,0.007,0.081,2.238,0.005,0.002,0.004,0.027,0.027
SC037,371385.8133,7217603.903,A,undetermined,0.204,2.834,0,0.007,90.949,0.108,3.514,0.832,0.106,0.058,0.749,1.097,0.235,0.007,0.005,0.078,2.203,0.006,0.002,0.002,0.031,0.017
SC038,371385.8119,7217601.947,A,undetermined,0.331,2.995,0,0.011,90.653,0.175,3.596,0.829,0.11,0.059,0.745,1.058,0.272,0.009,0.007,0.086,2.328,0.006,0.002,0.002,0.038,0.022
SC039,371386.0219,7217600.15,A,undetermined,0.301,2.794,0,0.012,91.141,0.159,3.552,0.809,0.096,0.058,0.781,0.834,0.254,0.007,0.009,0.077,2.171,0.005,0.002,0.002,0.021,0.02
SC04,371403.9534,7217601.991,A,undetermined,0.384,2.812,0,0.007,90.746,0.203,4.243,0.79,0.094,0.06,0.706,0.51,0.298,0.007,0.005,0.082,2.186,0.004,0.002,LOD,0.038,0.021
SC040,371383.7796,7217600.072,A,undetermined,0.272,2.95,0,0.008,91.106,0.144,3.522,0.802,0.091,0.06,0.863,0.704,0.275,0.007,0.006,0.063,2.293,0.003,0.003,0.002,0.034,0.02
SC041,371383.7842,7217601.913,A,midden_2,0.205,2.679,0,0.013,91.131,0.108,3.624,0.768,0.096,0.059,0.744,0.949,0.283,0.006,0.009,0.074,2.083,0.004,0.002,0.002,0.036,0.021
SC042,371383.8131,7217603.894,A,midden_2,0.313,3.153,0,0.013,90.565,0.166,3.775,0.794,0.096,0.062,0.764,0.931,0.252,0.007,0.009,0.067,2.451,0.005,0.002,0.002,0.033,0.018
SC043,371383.8525,7217606.036,A,midden_2,0.268,2.977,0,0.013,88.49,0.142,3.249,0.766,0.086,0.059,0.721,3.794,0.22,0.008,0.009,0.074,2.314,0.006,0.002,0.006,0.026,0.026
SC044,371383.8589,7217608.003,A,undetermined,0.324,3.416,0,0.012,90.032,0.171,3.365,0.822,0.098,0.079,0.772,1.623,0.223,0.006,0.009,0.081,2.655,0.006,0.002,0.004,0.026,0.023
SC05,371403.9432,7217600.137,A,undetermined,0.394,2.858,0,0.008,90.943,0.209,4.224,0.796,0.092,0.058,0.638,0.415,0.241,0.008,0.006,0.073,2.222,0.004,0.002,LOD,0.042,0.023
SC06,371401.6708,7217600.052,A,undetermined,0.245,2.854,0.361,0.012,90.862,0.13,3.865,0.805,0.092,0.061,0.675,0.618,0.277,0.007,0.008,0.103,2.219,0.006,0.002,LOD,0.029,0.02
SC07,371401.6755,7217602.052,A,undetermined,0.306,2.585,0,0.009,91.333,0.162,3.84,0.799,0.092,0.062,0.65,0.644,0.232,0.006,0.006,0.106,2.009,0.005,0.002,LOD,0.031,0.017
SC08,371401.7411,7217604.022,A,undetermined,0.274,2.844,0,0.013,91.034,0.145,3.872,0.823,0.098,0.062,0.692,0.595,0.27,0.007,0.009,0.115,2.211,0.005,0.002,0.002,0.036,0.021
SC09,371401.9522,7217606.025,A,undetermined,0.233,2.894,0,0.009,91.053,0.123,3.529,0.796,0.103,0.058,0.752,0.89,0.268,0.007,0.006,0.102,2.25,0.006,0.002,0.002,0.03,0.019
SD01,371381.8247,7217609.972,A,undetermined,0.308,3.589,0,0.014,90.344,0.163,3.463,0.831,0.099,0.06,0.926,0.849,0.272,0.009,0.009,0.12,2.79,0.006,0.003,0.002,0.024,0.027
SD010,371379.8212,7217606.031,A,undetermined,0.317666667,3.428666667,0,0.012333333,90.42866667,0.168666667,3.608,0.840333333,0.094333333,0.057666667,0.886,0.782,0.277,0.01,0.008666667,0.107333333,2.665333333,0.005666667,0.003,0.002,0.026666667,0.024
SD011,371379.7582,7217608.105,A,undetermined,0.256,3.786,0,0.016,90.155,0.135,3.491,0.816,0.1,0.059,0.959,0.79,0.319,0.01,0.011,0.135,2.943,0.008,0.003,0.002,0.025,0.033
SD012,371379.8565,7217610.023,A,undetermined,0.285,3.452,0,0.014,90.75,0.151,3.497,0.807,0.089,0.058,0.935,0.56,0.289,0.011,0.01,0.095,2.683,0.004,0.003,0.002,0.027,0.024
SD013,371377.9077,7217609.805,A,undetermined,0.328,3.305,0,0.012,90.691,0.173,3.707,0.81,0.09,0.058,0.964,0.505,0.272,0.009,0.008,0.086,2.569,0.003,0.003,0.002,0.026,0.022
SD014,371377.74,7217607.971,A,undetermined,0.274,3.538,0,0.016,90.436,0.145,3.567,0.811,0.095,0.061,1.001,0.63,0.313,0.011,0.011,0.104,2.75,0.005,0.003,0.002,0.022,0.027
SD015,371377.7219,7217606.062,A,undetermined,0.464,3.573,0,0.015,90.171,0.246,3.686,0.84,0.093,0.06,0.976,0.69,0.27,0.011,0.01,0.106,2.778,0.005,0.003,0.002,0.026,0.023
SD016,371377.6492,7217604.138,A,undetermined,0.301,3.29,0,0.014,90.511,0.159,3.743,0.838,0.094,0.058,0.923,0.652,0.28,0.01,0.009,0.098,2.557,0.004,0.003,0.002,0.034,0.022
SD017,371377.8412,7217602.143,A,undetermined,0.265,3.161,0,0.012,91.017,0.14,3.402,0.791,0.097,0.059,0.836,0.767,0.273,0.006,0.008,0.093,2.457,0.004,0.003,0.002,0.03,0.016
SD018,371377.7851,7217600.086,A,undetermined,0.419,2.781,0,0.009,90.902,0.222,3.985,0.826,0.089,0.058,0.799,0.55,0.258,0.007,0.006,0.068,2.161,0.004,0.002,LOD,0.033,0.026
SD019,371375.8612,7217600.058,A,undetermined,0.394,2.89,0,0.012,90.784,0.209,3.846,0.841,0.1,0.061,0.821,0.686,0.263,0.006,0.008,0.071,2.246,0.004,0.002,0.002,0.027,0.019
SD02,371381.7555,7217608.122,A,undetermined,0.383,3.538,0,0.015,90.274,0.203,3.376,0.812,0.094,0.069,0.926,1.025,0.265,0.012,0.011,0.107,2.75,0.006,0.003,0.003,0.027,0.03
SD020,371375.7869,7217602.168,A,undetermined,0.279,3.534,0,0.015,90.312,0.148,3.58,0.819,0.106,0.06,0.966,0.813,0.281,0.007,0.011,0.086,2.747,0.004,0.003,0.002,0.028,0.022
SD021,371375.8996,7217604.136,A,undetermined,0.301,3.93,0,0.014,90.22,0.159,3.202,0.847,0.097,0.056,1.004,0.898,0.283,0.01,0.009,0.089,3.055,0.005,0.003,0.003,0.026,0.026
SD022,371376.1217,7217605.98,A,undetermined,0.381,3.516,0,0.016,90.56,0.201,3.524,0.792,0.092,0.06,0.959,0.601,0.298,0.01,0.011,0.097,2.733,0.005,0.003,0.002,0.026,0.024
SD023,371375.8672,7217607.986,A,undetermined,0.281,3.091,0,0.013,91.013,0.149,3.592,0.755,0.088,0.057,0.962,0.514,0.309,0.01,0.009,0.078,2.403,0.004,0.003,0.002,0.029,0.022
SD024,371375.8855,7217609.967,A,undetermined,0.373,3.918,0,0.013,90.116,0.197,3.622,0.764,0.087,0.055,1.037,0.638,0.273,0.009,0.009,0.079,3.046,0.002,0.003,0.002,0.026,0.03
SD025,371373.9044,7217609.964,A,undetermined,0.255,2.947,0,0.011,91.349,0.135,3.666,0.733,0.08,0.057,0.76,0.54,0.25,0.006,0.008,0.065,2.291,0.002,0.002,LOD,0.032,0.022
SD026,371373.9437,7217608.126,A,undetermined,0.3,3.086,0,0.009,91.318,0.159,3.492,0.707,0.08,0.061,0.875,0.492,0.272,0.007,0.006,0.079,2.398,0.003,0.002,LOD,0.025,0.021
SD027,371373.9114,7217606.12,A,undetermined,0.256,3.285,0,0.015,90.739,0.135,3.599,0.769,0.094,0.057,0.91,0.684,0.292,0.009,0.01,0.09,2.554,0.003,0.003,0.002,0.026,0.022
SD028,371373.8826,7217604.091,A,undetermined,0.318,3.445,0,0.013,90.536,0.168,3.638,0.737,0.092,0.067,1.004,0.613,0.294,0.011,0.009,0.084,2.678,0.005,0.003,0.002,0.032,0.023
SD029,371373.8245,7217602.1,A,undetermined,0.374,3.622,0,0.012,90.134,0.198,3.28,0.756,0.094,0.059,1.049,1.141,0.285,0.01,0.008,0.093,2.816,0.005,0.003,0.003,0.033,0.027
SD03,371381.6807,7217605.995,A,midden_2,0.339,3.271,0,0.012,90.221,0.18,3.555,0.826,0.107,0.058,0.865,1.165,0.275,0.01,0.008,0.118,2.542,0.007,0.003,0.003,0.031,0.021
SD030,371373.7938,7217600.166,A,undetermined,0.256,3.026,0,0.012,90.709,0.136,3.987,0.778,0.087,0.059,0.879,0.552,0.291,0.009,0.008,0.078,2.352,0.003,0.003,0.002,0.037,0.026
SD04,371381.738,7217603.843,A,midden_2,0.245,3.296,0,0.013,90.493,0.13,3.424,0.824,0.097,0.058,0.833,1.146,0.247,0.009,0.009,0.107,2.562,0.006,0.003,0.003,0.022,0.024
SD05,371381.7148,7217602.153,A,undetermined,0.261,3.103,0.46,0.011,90.556,0.138,3.679,0.855,0.101,0.059,0.838,0.668,0.254,0.009,0.007,0.084,2.412,0.006,0.003,0.002,0.026,0.024
SD06,371381.8093,7217600.078,A,undetermined,0.333,3.343,0,0.015,90.597,0.176,3.52,0.779,0.09,0.06,0.929,0.775,0.284,0.011,0.01,0.111,2.598,0.006,0.003,0.002,0.023,0.024
SD07,371379.6741,7217600.211,A,undetermined,0.356,3.883,0,0.016,90.419,0.189,3.36,0.813,0.094,0.061,0.913,0.659,0.281,0.01,0.011,0.109,3.019,0.005,0.003,0.002,0.025,0.025
SD08,371379.9547,7217602.213,A,undetermined,0.249,3.426,0,0.014,90.474,0.132,3.734,0.812,0.098,0.058,0.867,0.697,0.282,0.009,0.01,0.098,2.663,0.005,0.003,0.002,0.029,0.026
SD09,371379.7766,7217604.091,A,undetermined,0.298,3.303,0,0.015,90.317,0.157,3.827,0.848,0.092,0.06,0.919,0.737,0.271,0.006,0.01,0.119,2.568,0.006,0.003,0.002,0.026,0.027
SE01,371373.8902,7217618.04,A,undetermined,0.334,3.227,0.353,0.011,90.612,0.177,3.775,0.762,0.088,0.058,0.889,0.486,0.267,0.009,0.008,0.089,2.508,0.003,0.002,LOD,0.027,0.024
SE010,371377.8968,7217615.945,A,undetermined,0.235,3.392,0,0.013,90.827,0.124,3.67,0.775,0.09,0.06,0.905,0.446,0.283,0.01,0.009,0.098,2.637,0.004,0.003,0.002,0.029,0.024
SE011,371377.7665,7217614.066,A,undetermined,0.281,3.676,0,0.016,90.644,0.149,3.413,0.805,0.094,0.061,0.96,0.531,0.288,0.009,0.011,0.106,2.858,0.004,0.003,0.002,0.027,0.029
SE012,371377.7828,7217612.14,A,undetermined,0.375,3.262,0,0.015,90.866,0.199,3.532,0.81,0.091,0.059,0.887,0.572,0.288,0.007,0.01,0.091,2.536,0.003,0.003,0.002,0.024,0.019
SE013,371379.7639,7217612.077,A,undetermined,0.295,3.36,0,0.012,90.771,0.156,3.576,0.82,0.087,0.058,0.918,0.543,0.286,0.009,0.008,0.089,2.612,0.004,0.003,0.002,0.027,0.025
SE014,371379.8842,7217614.082,A,undetermined,0.305,3.376,0,0.013,90.989,0.162,3.459,0.788,0.087,0.061,0.87,0.531,0.272,0.01,0.009,0.088,2.625,0.005,0.002,0.002,0.022,0.018
SE015,371379.8818,7217615.94,A,undetermined,0.327,3.391,0,0.014,90.847,0.173,3.551,0.804,0.078,0.056,0.875,0.527,0.284,0.009,0.009,0.091,2.636,0.003,0.002,0.002,0.029,0.022
SE016,371379.8597,7217617.992,A,undetermined,0.34,3.485,0,0.012,90.884,0.18,3.416,0.76,0.081,0.06,0.929,0.548,0.286,0.009,0.008,0.073,2.709,0.004,0.003,0.002,0.024,0.023
SE017,371381.8446,7217618.011,A,undetermined,0.354,3.459,0,0.013,90.349,0.187,3.298,0.785,0.095,0.061,0.839,1.265,0.247,0.01,0.009,0.098,2.688,0.006,0.003,0.003,0.026,0.029
SE018,371381.8633,7217615.968,A,undetermined,0.35,3.568,0,0.012,90.456,0.185,3.073,0.755,0.086,0.063,1.004,1.154,0.268,0.009,0.008,0.1,2.773,0.006,0.003,0.003,0.024,0.026
SE019,371381.7865,7217614.034,A,undetermined,0.313,3.876,0,0.021,90.065,0.166,3.271,0.774,0.101,0.059,0.961,1.11,0.279,0.01,0.014,0.111,3.013,0.006,0.003,0.002,0.027,0.023
SE02,371373.8657,7217616.032,A,undetermined,0.39,3.072,0,0.012,90.645,0.206,4.037,0.761,0.089,0.057,0.903,0.472,0.281,0.008,0.008,0.088,2.388,0.003,0.002,0.002,0.025,0.023
SE020,371381.7041,7217612.094,A,undetermined,0.377,3.571,0,0.015,90.353,0.199,3.547,0.751,0.088,0.06,1.027,0.719,0.29,0.01,0.011,0.097,2.776,0.004,0.003,0.002,0.032,0.027
SE03,371373.8551,7217614.249,A,undetermined,0.329,3.363,0,0.01,89.288,0.174,3.178,0.737,0.083,0.057,0.884,2.565,0.256,0.009,0.007,0.079,2.614,0.005,0.003,0.004,0.028,0.026
SE04,371373.8877,7217612.01,A,undetermined,0.283,3.573,0,0.015,87.464,0.15,2.682,0.717,0.075,0.055,0.869,4.772,0.247,0.011,0.01,0.095,2.778,0.005,0.003,0.006,0.034,0.024
SE05,371375.8317,7217612.124,A,undetermined,0.313,4.058,0,0.016,90.176,0.166,3.097,0.724,0.09,0.059,1.111,0.938,0.274,0.01,0.011,0.115,3.154,0.004,0.003,0.003,0.03,0.029
SE06,371375.9185,7217614.009,A,undetermined,0.429,3.34,0.273,0.014,90.41,0.227,3.677,0.79,0.099,0.091,0.929,0.549,0.286,0.009,0.009,0.092,2.596,0.003,0.003,0.002,0.031,0.027
SE07,371375.951,7217615.971,A,undetermined,0.301,3.524,0,0.013,90.541,0.159,3.636,0.782,0.091,0.079,0.995,0.497,0.3,0.007,0.009,0.1,2.739,0.004,0.003,0.002,0.026,0.026
SE08,371375.8581,7217618.05,A,undetermined,0.228,3.274,0.367,0.015,90.925,0.121,3.359,0.752,0.089,0.088,0.926,0.521,0.274,0.01,0.01,0.098,2.545,0.003,0.003,0.002,0.025,0.024
SE09,371377.9106,7217618.071,A,undetermined,0.304,2.915333333,0.093666667,0.010333333,91.168,0.160666667,3.909,0.710333333,0.076666667,0.061666667,0.789666667,0.400666667,0.256,0.008,0.007333333,0.074333333,2.266,0.002666667,0.002,LOD,0.024333333,0.023333333
SF01,371493.8991,7217710.051,B,undetermined,0.283,2.723,0,0.011,91.395,0.15,3.547,0.722,0.093,0.059,0.677,0.865,0.245,0.007,0.008,0.058,2.116,0.003,0.002,LOD,0.025,0.023
SF010,371491.9358,7217706.213,B,midden_3,0.292,2.902,0,0.01,89.183,0.154,3.425,0.767,0.098,0.058,0.614,3.021,0.248,0.006,0.007,0.095,2.256,0.005,0.002,0.004,0.032,0.021
SF011,371491.8472,7217708.093,B,undetermined,0.34,3.024,0.293,0.011,90.871,0.18,3.562,0.823,0.098,0.087,0.651,0.809,0.243,0.008,0.008,0.074,2.351,0.004,0.002,LOD,0.029,0.023
SF012,371491.8475,7217710.087,B,undetermined,0.331,3.143,0,0.012,91.239,0.175,3.562,0.779,0.102,0.069,0.647,0.589,0.238,0.009,0.008,0.077,2.443,0.004,0.002,LOD,0.032,0.022
SF013,371489.8857,7217710.098,B,undetermined,0.279,2.953,0,0.015,91.313,0.148,3.759,0.724,0.084,0.058,0.693,0.533,0.252,0.007,0.01,0.068,2.295,0.003,0.002,LOD,0.03,0.017
SF014,371489.8446,7217708.032,B,undetermined,0.271,2.937,0,0.011,91.297,0.143,3.665,0.726,0.081,0.061,0.653,0.699,0.248,0.007,0.008,0.069,2.283,0.003,0.002,LOD,0.032,0.019
SF015,371489.8803,7217706.121,B,midden_3,0.242,2.856,0,0.011,91.024,0.128,3.846,0.751,0.088,0.062,0.618,0.874,0.247,0.005,0.008,0.074,2.22,0.003,0.002,0.002,0.026,0.022
SF016,371489.699,7217704.131,B,midden_3,0.251,3.175,0,0.011,89.048,0.133,3.01,0.793,0.101,0.061,0.618,3.365,0.239,0.008,0.008,0.079,2.468,0.005,0.002,0.005,0.03,0.023
SF017,371489.6872,7217701.985,B,midden_3,0.364,3.07,0,0.012,87.359,0.193,2.938,0.741,0.088,0.061,0.622,5.205,0.218,0.007,0.008,0.108,2.386,0.005,0.002,0.006,0.028,0.024
SF018,371489.7979,7217699.986,B,undetermined,0.355,2.895,0,0.014,91.017,0.188,3.605,0.804,0.103,0.06,0.656,0.922,0.235,0.008,0.01,0.083,2.25,0.005,0.002,0.002,0.028,0.022
